model,total_params,train_acc,train_loss,val_acc,val_loss,test_acc,test_loss
Not pretrained Alexnet model,57024325,0.36953702569007874,1.6077663956748114,0.37118518352508545,1.6077634904649523,0.36746665835380554,1.6077681931813559
Not pretrained Resnet model,21287237,0.7570000290870667,0.7176345784929063,0.7526666522026062,0.7199603269718311,0.7570666670799255,0.7171680350939432
Not pretrained VGG model,134281029,0.6355555653572083,1.489881733505814,0.636888861656189,1.4898102535318445,0.6345333456993103,1.4897438917160035
Pretrained Alexnet model,57024325,0.9877777695655823,0.04452967763388598,0.9860000014305115,0.04583100433813201,0.98826664686203,0.04499908068974813
Pretrained Resnet model,21287237,0.9781481623649597,0.08580549072115509,0.9748148322105408,0.09225542418824302,0.9771999716758728,0.08820192785263062
Pretrained VGG model,134281029,0.9745370149612427,0.08776681503543148,0.9728888869285583,0.08968628842742354,0.974133312702179,0.08996640040477116
Not pretrained CNN model,438565,0.9980555772781372,0.008529858164765217,0.99014812707901,0.03117697491965912,0.9918666481971741,0.02668359004855156
