model,total_params,train_acc,train_loss,val_acc,val_loss,test_acc,test_loss
Not pretrained Alexnet model,57024325,0.20000000298023224,1.6094742757655955,0.20000000298023224,1.6094740801210756,0.20000000298023224,1.6094752543767292
Not pretrained Resnet model,21287237,0.2002592533826828,1.7004394399148446,0.20014815032482147,1.698365399925797,0.20080000162124634,1.7001736157099405
Not pretrained VGG model,134281029,0.20000000298023224,1.609931272789284,0.20000000298023224,1.6100202064160947,0.20000000298023224,1.6099542252222696
Pretrained Alexnet model,57024325,0.5197407603263855,1.4915897180415967,0.518074095249176,1.499745349601463,0.5246666669845581,1.4694190926233928
Pretrained Resnet model,21287237,0.37668517231941223,1.670948005464342,0.37829628586769104,1.6706172977376867,0.3736000061035156,1.6667038726170857
Pretrained VGG model,134281029,0.5699629783630371,1.246973089147497,0.5765925645828247,1.24102949057685,0.5725333094596863,1.2489152873357137
Not pretrained CNN model,438565,0.28211110830307007,2.919119278024744,0.2768148183822632,2.9371213096336084,0.2853333353996277,2.914287781270345
